	Wort	Emotionalität	Situation	Sentiment Score	Interpretation
214	Mölauzegt	neu	You dressed up for a night out with friends. You consider whether it is appropriate or whether you should change your clothes again.	0.4767	neutral
215	Mölauzegt	emo	You oversalted the dish and it tastes awful. You're mad because it's all wasted. Annoyed you throw everything in the trash.	-0.9001	emotional
216	Mölauzegt	neu	You record your speed with the help of an app when you go for a run. Additionally, after each run, you take the time to rate how well you did.	0.5859	emotional
217	Mölauzegt	emo	You're mad at yourself for failing to keep your New Year's resolutions. You're embarrassed in front of your friends.	-0.7096	emotional
218	Mölauzegt	neu	Every Sunday you write in a diary and listen to how you have been during the week and whether you are satisfied with yourself.	0.4215	neutral
219	Mölauzegt	emo	"You wasted too much time on Instagram again today. You get upset and call yourself ""idiot!"" for being so unproductive."	-0.7263	emotional
220	Bingsemöl	neu	You practice turning pancakes on the stove without a spatula. You get the hang of it and repeat it a few times so you get it right the next time.	0.0	neutral
221	Bingsemöl	emo	You've been practicing a piece on the piano for hours and it just doesn't work. You are unsatisfied and completely dissolved. You keep practicing, frustrated.	-0.7269	emotional
222	Bingsemöl	neu	You are trying to make a pattern in the milk froth of your latte. You practice it every morning so that the pattern is easier to recognize.	0.4215	neutral
223	Bingsemöl	emo	You keep going over your lecture. You're upset because you keep making mistakes. You're on the verge of despair, but don't give yourself a break.	-0.4939	neutral
224	Bingsemöl	neu	You have seen that a friend ties his/her shoelaces differently than you. You try it his/her way and practice it a few times so that the lacing is tight enough.	0.4939	neutral
225	Bingsemöl	emo	You put yourself under pressure because you can't do a movement in a sport. You practice them over and over again and persevere even though you are exhausted. you are irritated	-0.7717	emotional
226	Bingsemöl	neu	You are at a small lake and trying to let pebbles slide over the water. You've collected quite a handful of flat rocks to practice.	0.0	neutral
227	Bingsemöl	emo	You calculate the same mathematical derivation over and over again. At one point you always have a blackout. You angrily wonder how you can be so stupid.	-0.8001	emotional
228	Bingsemöl	neu	A colleague showed you how to use a new computer program. Now repeat the steps once so you'll remember how to do it tomorrow.	0.0	neutral
229	Bingsemöl	emo	You just can't get it to cross jump with the rope. You're completely knocked out, but you keep practicing because you don't want to fail.	0.5334	emotional
230	Iberletsch	neu	You are sitting in the restaurant and would like to order something else. You would like to tap the waitress when he*she walks by to draw attention to you.	0.6124	emotional
231	Iberletsch	emo	You are sitting across from your partner on a date in a restaurant. His*Her lips look so sensual that you stare at them. You long to kiss him*her.	0.4215	neutral
232	Iberletsch	neu	You exchange ideas with an acquaintance about a political topic. In between, you would like to pat him*her on the back if you agree.	0.6124	emotional
233	Iberletsch	emo	You danced all night in love with the same person. As you stand in front of the pub, you feel the desire to kiss him*her.	0.8658	emotional
234	Iberletsch	neu	You wanted to give a friend a high five. He*she didn't see this and you consider reaching for his*her hand to tee off.	0.802	emotional
235	Iberletsch	emo	You have a crush on an actor. You think about feeling his*her soft lips. You desire him*her very much.	0.3818	neutral
236	Iberletsch	neu	At a barbecue you see your niece again. You'd love to pet her on the head, but you know she doesn't like it.	-0.0168	neutral
237	Iberletsch	emo	You see your crush at college. The idea of ​​kissing him*her is irresistible. You are so attracted to him/her.	0.6615	emotional
238	Iberletsch	neu	You go up an escalator. There is a person in front of you that you would like to push aside to come by.	0.3612	neutral
239	Iberletsch	emo	You are sitting next to an attractive stranger on the train. You are smitten and have an insatiable desire to kiss him*her.	0.8126	emotional
240	Troff	neu	You decide to call it a day earlier than usual. That means you'll have to work late tomorrow to make up your hours.	0.0	neutral
241	Troff	emo	You plucked up courage and quit your old job, which makes you very happy. You feel self-determined and confident.	0.8858	emotional
242	Troff	neu	You'd rather watch Netflix today than study. You're aware that you'll either have to do a night shift tomorrow or you won't be able to finish all the material.	0.0	neutral
243	Troff	emo	You stood up for yourself and ended your relationship. You feel liberated and independent and a burden is lifted from you.	-0.4404	neutral
244	Troff	neu	You decide to drive to work instead of cycling. That means, of course, that you can't drink an after-work beer with your colleagues tonight.	0.0	neutral
245	Troff	emo	You have decided to move in with your partner. It's an exciting step and you feel determined and excited for the future.	0.7906	emotional
246	Troff	neu	You decide on a specialization in the master's program. You are aware that you are excluding certain professions in the future.	0.2732	neutral
247	Troff	emo	After endless back and forth you have ordered a new bike. You are very satisfied with your choice and proud to have found the right model.	0.7346	emotional
248	Troff	neu	You drink another coffee in the afternoon to stay awake. You accept that you won't be able to fall asleep tonight.	0.3818	neutral
249	Troff	emo	You have decided what you want to do after your studies. You feel powerful and fulfilled with this decision. It's good to have a goal in mind.	0.8316	emotional
250	Odef	neu	You started your studies back then with a fixed career path in mind. 10 years later you have exactly the job you had planned.	0.0	neutral
251	Odef	emo	You notice how loose your pants are. You have eaten healthily, reached your dream weight and are satisfied with your great performance.	0.7906	emotional
252	Odef	neu	Six months ago you decided to lose 5 kg. You followed a nutrition plan and lost almost exactly 5 kg on the deadline today.	-0.6124	emotional
253	Odef	emo	You realize how much happier you are after ending your relationship. Now you feel confident and strong again.	0.872	emotional
254	Odef	neu	You ran into a new electric toothbrush to reduce plaque. At your check-up appointment today, your dentist will tell you that you have less plaque.	0.0	neutral
255	Odef	emo	You started doing yoga. You notice that your posture and balance have improved. You are happy about your progress and proud!	0.9184	emotional
256	Odef	neu	You have set yourself the goal of being able to run 5 km in one go in 8 weeks. You stuck to the plan and now you can do the 5km.	-0.25	neutral
257	Odef	emo	After a period of unemployment you have the job of your dreams and you are self-confident because you have reached your long-awaited goal and things are going uphill.	0.5719	emotional
258	Odef	neu	You created a savings plan two years ago. Today you take stock and see that you have covered exactly the targeted amount.	0.25	neutral
259	Odef	emo	On your bank statement you can see that you have paid off your debt and saved a buffer. Your self-esteem increases. You feel empowered and confident.	0.5423	emotional
260	Faube	neu	You're standing in line at the checkout at the grocery store and you only have two items. You briefly make eye contact with the person in front of you as they place their purchases on the belt. She may let you in front because you only have two pieces.	0.0	neutral
261	Faube	emo	You are sitting across from a very attractive person on the train. You keep exchanging flirty looks. You wish you could start a conversation, but nobody dares to take the first step.	0.5017	emotional
262	Faube	neu	You're sitting in the doctor's waiting room and had an appointment 30 minutes ago. You try to make eye contact with the receptionist so that he*she asks you if it was your turn.	0.0	neutral
263	Faube	emo	You are in a bar with friends. Again and again a good-looking person looks over at you from the next table. You hope that the constant eye contact isn't an accident. You both look a little embarrassed.	0.7466	emotional
264	Faube	neu	You pass an information stand of a political party on the shopping street. You look down so that casual eye contact doesn't turn into a conversation.	0.5829	emotional
265	Faube	emo	You're sitting in the library and your crush is sitting across from you. Your eyes meet and you both blush. You would be very happy if he*she spoke to you.	0.5256	emotional
266	Faube	neu	You are at a restaurant for dinner. You want to order another bottle of water. You look up to make eye contact with the waitress so he/she comes to your table.	0.0772	neutral
267	Faube	emo	You had a fight with your sister, but actually you are both sorry. You keep looking at each other expectantly. You both seem to be hoping that the other will apologize.	0.4678	neutral
268	Faube	neu	When you want to get out of an elevator, another person wants to get out as well. You are in each other's way. You make eye contact so the person can tell you they're letting you go first.	0.34	neutral
269	Faube	emo	You are standing at the supermarket checkout and your gaze keeps crossing that of a person in the next queue. You're flattered and it's exciting. You long for the person to approach you before you pay.	0.6597	emotional
270	Wunicher	neu	You share a workplace with two people. You arrange your working hours in such a way that you don't get in each other's way.	0.296	neutral
271	Wunicher	emo	You're scared of meeting your ex who lives down the street. You nervously look out for him/her because you fear he/she is nearby. It would be painful to see him*her.	-0.8625	emotional
272	Wunicher	neu	You are in the supermarket and you see that the slowest cashier is at checkout 2. You line up at another checkout because it's faster there.	0.0	neutral
273	Wunicher	emo	You're invited to a party. You fear that a person will come too, who is always very pushy. You compulsively look for an excuse not to go.	-0.3804	neutral
274	Wunicher	neu	You hear that your neighbors are in the hallway. You wait until they're gone to go out. You don't have time for conversation today.	0.0	neutral
275	Wunicher	emo	You despair because your arrogant mother-in-law is sure to talk derogatory to you again over afternoon coffee. You consider faking a cold to avoid going.	-0.802	emotional
276	Wunicher	neu	You deliberately drive to the office early in the morning. If you're the first to get there, you can make yourself a coffee and get to work while it's still quiet.	0.0	neutral
277	Wunicher	emo	You're behind on an important project. You sneak into the office very early to avoid your awkward boss and his/her reproaches.	-0.3102	neutral
278	Wunicher	neu	You get on the train. There is one seat left next to someone listening to music loudly with headphones. You prefer to stay where you are to have your peace.	0.5423	emotional
279	Wunicher	emo	You see a person who teased you at school. You panic that he*she is being mean to you again and recoil.	-0.6705	emotional
280	Bisknirgo	neu	You lie on your bed and look at the ceiling. You have nothing to do and nobody is there.	0.0	neutral
281	Bisknirgo	emo	You sink onto the sofa, take a deep breath and let your soul dangle. You feel carefree and balanced. That's nice.	0.6705	emotional
282	Bisknirgo	neu	You sit at your kitchen table and look out the window. The construction workers outside are on break and it's quiet.	0.0	neutral
283	Bisknirgo	emo	You do a guided meditation with an app. You are in a state of complete serenity and inner peace. It's good to switch off.	0.7506	emotional
284	Bisknirgo	neu	You sit outside on a park bench and close your eyes. You don't have any more appointments today and you'll be sitting for a while.	0.0	neutral
285	Bisknirgo	emo	You kept a diary and wrote down all the circling thoughts in order to let them go. Now you feel liberated and calmed.	0.3818	neutral
286	Bisknirgo	neu	You're lying in your bed and just woke up on your own. Because today is Sunday, you lie still for a while.	-0.5267	emotional
287	Bisknirgo	emo	You gave your all in sports today. You are satisfied with your performance and relax on the sofa with a clear conscience.	0.8074	emotional
288	Bisknirgo	neu	You sit in your car in front of your house after work. You sit like that for a while and do nothing. It is quiet.	0.3612	neutral
289	Bisknirgo	emo	You have treated yourself to a soothing massage in a thermal bath. Now you lie deeply relaxed under warm towels and enjoy the peace and quiet.	0.9281	emotional
290	Ferandsor	neu	The colleagues plan to go to a pub after work. You close the door to your office because you don't want to be invited.	-0.0572	neutral
291	Ferandsor	emo	You are very withdrawn on first dates. Your ex has treated you very badly and you are afraid that your trust will be taken advantage of again.	0.228	neutral
292	Ferandsor	neu	Your brother asked you to play a game with him. You've been out all day and refuse to have your peace.	0.5719	emotional
293	Ferandsor	emo	Your ex cheated on you, which hurt you a lot. You are insecure in your new relationship. Jealousy constantly boils up in you.	-0.8957	emotional
294	Ferandsor	neu	A friend sends you a message asking if you would like to go eat with them. You don't answer because you want to spend the evening on the couch.	0.7184	emotional
295	Ferandsor	emo	Your father*mother left your family when you were little. Now he*she is looking for contact again. You distrust him*her and are afraid of being disappointed again.	-0.7096	emotional
296	Ferandsor	neu	You find a quiet corner in the gym locker room because you don't want to join in the conversations.	-0.2755	neutral
297	Ferandsor	emo	A friend betrayed you. He*she apologizes to you. You hesitate and reserve because you fear that he*she will hurt you again.	-0.7906	emotional
298	Ferandsor	neu	You come home and go straight to your room. You want to read something in peace and not talk to your family.	0.6908	emotional
299	Ferandsor	emo	A work colleague has discredited you with personal information in front of the superiors. You're reserved and withdrawn at work now.	-0.2263	neutral
