	Wort	Emotionalität	Situation
252	Odef	neu	Six months ago you decided to lose 5 kg. You followed a nutrition plan and lost almost exactly 5 kg on the deadline today.
253	Odef	emo	You realize how much happier you are after ending your relationship. Now you feel confident and strong again.
254	Odef	neu	You ran into a new electric toothbrush to reduce plaque. At your check-up appointment today, your dentist will tell you that you have less plaque.
255	Odef	emo	You started doing yoga. You notice that your posture and balance have improved. You are happy about your progress and proud!
256	Odef	neu	You have set yourself the goal of being able to run 5 km in one go in 8 weeks. You stuck to the plan and now you can do the 5km.
257	Odef	emo	After a period of unemployment you have the job of your dreams and you are self-confident because you have reached your long-awaited goal and things are going uphill.
258	Odef	neu	You created a savings plan two years ago. Today you take stock and see that you have covered exactly the targeted amount.
259	Odef	emo	On your bank statement you can see that you have paid off your debt and saved a buffer. Your self-esteem increases. You feel empowered and confident.
260	Faube	neu	You're standing in line at the checkout at the grocery store and you only have two items. You briefly make eye contact with the person in front of you as they place their purchases on the belt. She may let you in front because you only have two pieces.
261	Faube	emo	You are sitting across from a very attractive person on the train. You keep exchanging flirty looks. You wish you could start a conversation, but nobody dares to take the first step.
262	Faube	neu	You're sitting in the doctor's waiting room and had an appointment 30 minutes ago. You try to make eye contact with the receptionist so that he*she asks you if it was your turn.
263	Faube	emo	You are in a bar with friends. Again and again a good-looking person looks over at you from the next table. You hope that the constant eye contact isn't an accident. You both look a little embarrassed.
264	Faube	neu	You pass an information stand of a political party on the shopping street. You look down so that casual eye contact doesn't turn into a conversation.
265	Faube	emo	You're sitting in the library and your crush is sitting across from you. Your eyes meet and you both blush. You would be very happy if he*she spoke to you.
266	Faube	neu	You are at a restaurant for dinner. You want to order another bottle of water. You look up to make eye contact with the waitress so he/she comes to your table.
267	Faube	emo	You had a fight with your sister, but actually you are both sorry. You keep looking at each other expectantly. You both seem to be hoping that the other will apologize.
268	Faube	neu	When you want to get out of an elevator, another person wants to get out as well. You are in each other's way. You make eye contact so the person can tell you they're letting you go first.
269	Faube	emo	You are standing at the supermarket checkout and your gaze keeps crossing that of a person in the next queue. You're flattered and it's exciting. You long for the person to approach you before you pay.
270	Wunicher	neu	You share a workplace with two people. You arrange your working hours in such a way that you don't get in each other's way.
271	Wunicher	emo	You're scared of meeting your ex who lives down the street. You nervously look out for him/her because you fear he/she is nearby. It would be painful to see him*her.
272	Wunicher	neu	You are in the supermarket and you see that the slowest cashier is at checkout 2. You line up at another checkout because it's faster there.
273	Wunicher	emo	You're invited to a party. You fear that a person will come too, who is always very pushy. You compulsively look for an excuse not to go.
274	Wunicher	neu	You hear that your neighbors are in the hallway. You wait until they're gone to go out. You don't have time for conversation today.
275	Wunicher	emo	You despair because your arrogant mother-in-law is sure to talk derogatory to you again over afternoon coffee. You consider faking a cold to avoid going.
276	Wunicher	neu	You deliberately drive to the office early in the morning. If you're the first to get there, you can make yourself a coffee and get to work while it's still quiet.
277	Wunicher	emo	You're behind on an important project. You sneak into the office very early to avoid your awkward boss and his/her reproaches.
278	Wunicher	neu	You get on the train. There is one seat left next to someone listening to music loudly with headphones. You prefer to stay where you are to have your peace.
279	Wunicher	emo	You see a person who teased you at school. You panic that he*she is being mean to you again and recoil.
280	Bisknirgo	neu	You lie on your bed and look at the ceiling. You have nothing to do and nobody is there.
281	Bisknirgo	emo	You sink onto the sofa, take a deep breath and let your soul dangle. You feel carefree and balanced. That's nice.
282	Bisknirgo	neu	You sit at your kitchen table and look out the window. The construction workers outside are on break and it's quiet.
283	Bisknirgo	emo	You do a guided meditation with an app. You are in a state of complete serenity and inner peace. It's good to switch off.
284	Bisknirgo	neu	You sit outside on a park bench and close your eyes. You don't have any more appointments today and you'll be sitting for a while.
285	Bisknirgo	emo	You kept a diary and wrote down all the circling thoughts in order to let them go. Now you feel liberated and calmed.
286	Bisknirgo	neu	You're lying in your bed and just woke up on your own. Because today is Sunday, you lie still for a while.
287	Bisknirgo	emo	You gave your all in sports today. You are satisfied with your performance and relax on the sofa with a clear conscience.
288	Bisknirgo	neu	You sit in your car in front of your house after work. You sit like that for a while and do nothing. It is quiet.
289	Bisknirgo	emo	You have treated yourself to a soothing massage in a thermal bath. Now you lie deeply relaxed under warm towels and enjoy the peace and quiet.
290	Ferandsor	neu	The colleagues plan to go to a pub after work. You close the door to your office because you don't want to be invited.
291	Ferandsor	emo	You are very withdrawn on first dates. Your ex has treated you very badly and you are afraid that your trust will be taken advantage of again.
292	Ferandsor	neu	Your brother asked you to play a game with him. You've been out all day and refuse to have your peace.
293	Ferandsor	emo	Your ex cheated on you, which hurt you a lot. You are insecure in your new relationship. Jealousy constantly boils up in you.
294	Ferandsor	neu	A friend sends you a message asking if you would like to go eat with them. You don't answer because you want to spend the evening on the couch.
295	Ferandsor	emo	Your father*mother left your family when you were little. Now he*she is looking for contact again. You distrust him*her and are afraid of being disappointed again.
296	Ferandsor	neu	You find a quiet corner in the gym locker room because you don't want to join in the conversations.
297	Ferandsor	emo	A friend betrayed you. He*she apologizes to you. You hesitate and reserve because you fear that he*she will hurt you again.
298	Ferandsor	neu	You come home and go straight to your room. You want to read something in peace and not talk to your family.
299	Ferandsor	emo	A work colleague has discredited you with personal information in front of the superiors. You're reserved and withdrawn at work now.
